English Text,Bangla Text,Class
"Ex Wife Threatening SuicideRecently I left my wife for good because she has cheated on me twice and lied to me so much that I have decided to refuse to go back to her. As of a few days ago, she began threatening suicide. I have tirelessly spent these paat few days talking her out of it and she keeps hesitating because she wants to believe I'll come back. I know a lot of people will threaten this in order to get their way, but what happens if she really does? What do I do and how am I supposed to handle her death on my hands? I still love my wife but I cannot deal with getting cheated on again and constantly feeling insecure. I'm worried today may be the day she does it and I hope so much it doesn't happen.","প্রাক্তন স্ত্রী আত্মঘাতীভাবে হুমকির মুখে ফেলেন আমি আমার স্ত্রীকে ভাল করে রেখেছি কারণ সে আমার উপর দুবার প্রতারিত করেছে এবং আমার কাছে এত মিথ্যা বলেছিল যে আমি তার কাছে ফিরে যাওয়ার প্রত্যাখ্যান করার সিদ্ধান্ত নিয়েছি।কয়েকদিন আগে, তিনি আত্মহত্যা হুমকি শুরু করেন।আমি তার থেকে বেরিয়ে আসার কয়েকদিন এই পটটি কাটিয়েছি এবং সে দ্বিধা রাখে কারণ সে বিশ্বাস করতে চায় যে আমি ফিরে আসব।আমি জানি যে অনেক লোক তাদের পথ পেতে এই হুমকি দেবে, কিন্তু সে আসলেই কি হবে?আমি কি করব এবং আমি কিভাবে আমার হাতে তার মৃত্যু হ্যান্ডেল করতে চাই?আমি এখনও আমার স্ত্রীকে ভালোবাসি কিন্তু আমি আবার প্রতারিত এবং ক্রমাগত অনিরাপদ বোধ করার সাথে মোকাবিলা করতে পারি না।আমি চিন্তিত আজকে সেদিন সেটি হতে পারে এবং আমি আশা করি এটি অনেক বেশি হবে না।",suicide
Am I weird I don't get affected by compliments if it's coming from someone I know irl but I feel really good when internet strangers do it,"আমি অদ্ভুত আছি আমি যদি এমন একজনের কাছ থেকে আসছি, তবে আমি আইআরএল জানি না তবে ইন্টারনেট অপরিচিতরা যখন আমি সত্যিই ভাল বোধ করি তখন আমি সত্যিই ভাল বোধ করি",non-suicide
"Finally 2020 is almost over... So I can never hear ""2020 has been a bad year"" ever again. I swear to fucking God it's so annoying","অবশেষে 2020 প্রায় শেষ হচ্ছে ... তাই আমি কখনোই শুনতে পাচ্ছি না ""2020 একটি খারাপ বছর হয়েছে"" আবার।আমি ঈশ্বর যৌনসঙ্গম শপথ এটা এত বিরক্তিকর",non-suicide
"My life is over at 20 years oldHello all. I am a 20 year old balding male. My hairline is trash and to make matters worse my head is HUGE. I have bipolar, depression and crippling social anxiety. Balding has been the cherry on top. I wear a hat 24/7 even in my room when Iâ€™m alone because I canâ€™t stop thinking about it. I pop Xanax all day to try and numb the pain and it works for a little bit but it all comes crashing back twice as hard once I come down. I donâ€™t know how to communicate with people anymore and I donâ€™t know how to keep a relationship. I used to be one of the â€œpopular kidsâ€_x009d_ but after my dad passed away I feel into a deep dark hole. Iâ€™ve been arrested numerous times, been in rehab, mental hospitals, you name it. The only reason I havenâ€™t killed myself yet is because of my mom and brothers. If I didnâ€™t have them Iâ€™d be dead long ago. But itâ€™s getting to the point where even their love and support isnâ€™t going to be enough to keep me alive anymore. Iâ€™m either going to be the guy who killed himself, or the guy who went bald and 20 and looks like a child molestor. Which one would you choose?","আমার জীবন ২0 বছর বয়সী ওল্ডহেলো সব। আমি একটি 20 বছর বয়সী balding পুরুষ পুরুষ। আমার hairline ট্র্যাশ এবং আমার মাথা খারাপ কাজ করতে বিশাল। আমি দ্বিদ্বীপ, বিষণ্নতা এবং সামাজিক উদ্বেগ crippling আছে। Balding উপরে চেরি হয়েছে। আমি আমার ঘরেও একটি টুপি পরেন যখন আমি একা থাকি কারণ আমি এটি সম্পর্কে চিন্তা করা বন্ধ করতে পারি না। আমি ব্যথা চেষ্টা এবং ব্যথা numb সারা দিন xanax পপ এবং এটি একটি সামান্য বিট জন্য কাজ করে কিন্তু আমি নিচে আসা একবার এটা দুইবার হার্ড ফিরে ক্র্যাশিং আসে। আমি আর মানুষের সাথে যোগাযোগ করতে পারি না এবং আমি কীভাবে সম্পর্ক রাখতে পারি তা জানি না। আমি ""Popular কিডস € _x009d_ এর মধ্যে একটি হতে পারতাম কিন্তু আমার বাবা মারা যাওয়ার পর আমি গভীর অন্ধকার গর্তে অনুভব করি। আমি অনেকবার গ্রেফতার করা হয়েছে, পুনর্বাসন, মানসিক হাসপাতাল, আপনি এটি নাম। আমার মায়ের ও ভাইয়ের কারণে এখনো নিজেকে মেরে ফেলবে না। যদি আমি তাদের না থাকি তবে আমি অনেক আগেই মৃত হব। কিন্তু এটি এমনভাবে যেখানেই তাদের ভালবাসা এবং সমর্থন আমাকে আর জীবিত রাখতে যথেষ্ট হতে পারে না। আমি যে লোকটি নিজেকে মেরে ফেলেছি, নাকি মেয়েটি বা ২0 জন গিয়েছিলাম এবং একটি শিশু নির্যাতনের মত দেখাচ্ছে। আপনি কোনটি বেছে নেবেন?",suicide
"I took the rest of my sleeping pills and my painkillersI canâ€™t wait for it to end, Iâ€™ve struggled for the past 6 years and Iâ€™m finally ending it.",আমি আমার ঘুমের টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো টুকরো করে শেষ করার জন্য অপেক্ষা করছি।,suicide
"Can you imagine getting old? Me neither.Wrinkles, weight gain, hair loss, messed up teeth and bones, health issues, menopause, hormones, hating new generations &amp; the way world progress.

Being a useless angry piece of shit who can't take care of itself. Being totally depended on people who secretly wants you to die already.

Can you even imagine yourself there? Absolutely not. Even if I was happy, I'd take my life just to avoid this. ","আপনি পুরানো হচ্ছে কল্পনা করতে পারেন?আমি না .wrinkles, ওজন বৃদ্ধি, চুলের ক্ষতি, দাঁত এবং হাড়, স্বাস্থ্য সমস্যা, মেনোপজ, হরমোন, নতুন প্রজন্মকে ঘৃণা করে এবং amp;উপায় বিশ্বের অগ্রগতি।

বিষ্ঠা একটি নিরর্থক রাগ হচ্ছে যারা নিজেকে যত্ন নিতে পারে না।গোপনভাবে আপনি মারা যেতে চান যারা সম্পূর্ণরূপে নির্ভরশীল হচ্ছে।

আপনি এমনকি নিজেকে কল্পনা করতে পারেন?একেবারে না.এমনকি যদি আমি খুশি হতাম, আমি শুধু এই এড়াতে আমার জীবন নিতে চাই।",suicide
"Do you think getting hit by a train would be painful?Guns are hard to come by in my country but trains are not. I just don't want to suffer though, do you think this would be a painless method of suicide?","আপনি একটি ট্রেন দ্বারা আঘাত পেয়ে মনে হয় বেদনাদায়ক হবে? বন্দুক আমার দেশে আসতে কঠিন কিন্তু ট্রেন হয় না।আমি শুধু কষ্ট ভোগ করতে চাই না, আপনি কি মনে করেন যে এটি আত্মহত্যার যন্ত্রণাহীন পদ্ধতি হবে?",suicide
"death, continuedI posted here before and saw something interesting.  I asked for information.  You know what I got back?  A bunch of people who wanted to do the same thing to me as they always do: spit back personal information about me.  This makes things worse, obviously, but at least a bunch of trolls are having laughs.

In the end, my desire to self-terminate grows stronger.  I have so little left now, but still have the same bitterness, just a bit stronger now.  The main goal throughout the process is to minimize the subsequent fallout.  It would certainly have been nice had the patrons of this forum been more respectful of my privacy, but that was obviously a bit of a ridiculous expectation, considering the source.","মৃত্যু, চলমান আগে এখানে পোস্ট এবং আকর্ষণীয় কিছু দেখেছি।আমি তথ্য জন্য জিজ্ঞাসা।তুমি জানো আমি কি ফিরে এসেছি?যারা আমার কাছে একই জিনিস করতে চায় তাদের একটি গুচ্ছ: আমার সম্পর্কে ব্যক্তিগত তথ্য ফিরে এসেছে।এটি জিনিসগুলিকে আরও খারাপ করে তোলে, স্পষ্টতই, কিন্তু কমপক্ষে trolls একটি গুচ্ছ laughs হয়।

শেষ পর্যন্ত, স্ব-সমাপ্তির আমার ইচ্ছা শক্তিশালী বৃদ্ধি পায়।আমি এখন এত ছোট বাকি আছে, কিন্তু এখনও একই তিক্ততা আছে, এখন শুধু একটি বিট শক্তিশালী।প্রক্রিয়া জুড়ে প্রধান লক্ষ্য পরবর্তী পতন কমানোর হয়।অবশ্যই এই ফোরামের পৃষ্ঠপোষকতা আমার গোপনীয়তার প্রতি শ্রদ্ধাশীল ছিল, তবে এটি স্পষ্টতই একটি হাস্যকর প্রত্যাশা ছিল, যা উৎসটি বিবেচনা করে।",suicide
Been arrested - feeling suicidalEdit,গ্রেফতার করা হয়েছে - আত্মঘাতীতা অনুভব করছি,suicide
Fuck the verizon smart family app I canâ€™t even watch porn privately anymore wtf why is that a feature,"Verizon স্মার্ট পারিবারিক অ্যাপ্লিকেশনটি আমিও করতে পারি না, আপনি যদি কোনও বৈশিষ্ট্যটি কোনও বৈশিষ্ট্যটিকে ব্যক্তিগতভাবে দেখেন না",non-suicide
